anio,provincia,sexo,grupo_edad,poblacion
2020,imbabura,Mujer,0-14,63007
2020,imbabura,Mujer,15-19,21963
2020,imbabura,Mujer,20-29,42598
2020,imbabura,Mujer,30-44,50122
2020,imbabura,Mujer,45-64,43310
2020,imbabura,Mujer,65+,22599
2020,loja,Hombre,0-14,69062
2020,loja,Hombre,15-19,22638
2020,loja,Hombre,20-29,45161
2020,loja,Hombre,30-44,48921
2020,loja,Hombre,45-64,38557
2020,loja,Hombre,65+,21558
2020,loja,Mujer,0-14,66283
2020,loja,Mujer,15-19,21855
2020,loja,Mujer,20-29,43390
2020,loja,Mujer,30-44,48703
2020,loja,Mujer,45-64,45585
2020,loja,Mujer,65+,25752
2020,los_rios,Hombre,0-14,136595
2020,los_rios,Hombre,15-19,43845
2020,los_rios,Hombre,20-29,83918
2020,los_rios,Hombre,30-44,97602
2020,los_rios,Hombre,45-64,79559
2020,los_rios,Hombre,65+,31195
2020,los_rios,Mujer,0-14,130792
2020,los_rios,Mujer,15-19,42652
2020,los_rios,Mujer,20-29,83050
2020,los_rios,Mujer,30-44,96213
2020,los_rios,Mujer,45-64,80668
2020,los_rios,Mujer,65+,39671
2020,manabi,Hombre,0-14,228217
2020,manabi,Hombre,15-19,78594
2020,manabi,Hombre,20-29,158184
2020,manabi,Hombre,30-44,180000
2020,manabi,Hombre,45-64,122640
2020,manabi,Hombre,65+,52449
2020,manabi,Mujer,0-14,219354
2020,manabi,Mujer,15-19,75752
2020,manabi,Mujer,20-29,155830
2020,manabi,Mujer,30-44,170109
2020,manabi,Mujer,45-64,124887
2020,manabi,Mujer,65+,84318
2020,morona,Hombre,0-14,36294
2020,morona,Hombre,15-19,11403
2020,morona,Hombre,20-29,20186
2020,morona,Hombre,30-44,17291
2020,morona,Hombre,45-64,9288
2020,morona,Hombre,65+,3969
2020,morona,Mujer,0-14,34323
2020,morona,Mujer,15-19,10611
2020,morona,Mujer,20-29,18727
2020,morona,Mujer,30-44,16423
2020,morona,Mujer,45-64,9911
2020,morona,Mujer,65+,4474
2020,napo,Hombre,0-14,22828
2020,napo,Hombre,15-19,7072
2020,napo,Hombre,20-29,12907
2020,napo,Hombre,30-44,12912
2020,napo,Hombre,45-64,7542
2020,napo,Hombre,65+,3353
2020,napo,Mujer,0-14,21697
2020,napo,Mujer,15-19,6650
2020,napo,Mujer,20-29,12404
2020,napo,Mujer,30-44,13039
2020,napo,Mujer,45-64,7872
2020,napo,Mujer,65+,2930
2020,orellana,Hombre,0-14,31656
2020,orellana,Hombre,15-19,9371
2020,orellana,Hombre,20-29,16177
2020,orellana,Hombre,30-44,18903
2020,orellana,Hombre,45-64,13991
2020,orellana,Hombre,65+,3862
2020,orellana,Mujer,0-14,30182
2020,orellana,Mujer,15-19,8907
2020,orellana,Mujer,20-29,15133
2020,orellana,Mujer,30-44,16522
2020,orellana,Mujer,45-64,11277
2020,orellana,Mujer,65+,3086
2020,pastaza,Hombre,0-14,19431
2020,pastaza,Hombre,15-19,5588
2020,pastaza,Hombre,20-29,10137
2020,pastaza,Hombre,30-44,10820
2020,pastaza,Hombre,45-64,7384
2020,pastaza,Hombre,65+,2779
2020,pastaza,Mujer,0-14,18338
2020,pastaza,Mujer,15-19,5270
2020,pastaza,Mujer,20-29,10396
2020,pastaza,Mujer,30-44,10602
2020,pastaza,Mujer,45-64,6724
2020,pastaza,Mujer,65+,2993
